season,team,goals,shots,score,conceded,opp_shots,games,accuracy
2022,Essendon,249,492,1737,2087,552,22,0.5060975609756098
2022,Fremantle,251,484,1739,1486,416,22,0.518595041322314
2022,Geelong,310,596,2146,1488,393,22,0.5201342281879194
2022,Gold Coast,271,516,1871,1820,515,22,0.5251937984496124
2022,Greater Western Sydney,237,446,1631,1927,527,22,0.531390134529148
2022,Hawthorn,262,477,1787,1991,536,22,0.549266247379455
2022,Melbourne,279,541,1936,1483,423,22,0.5157116451016636
2022,North Melbourne,193,372,1337,2397,652,22,0.5188172043010753
2022,Port Adelaide,261,501,1806,1638,473,22,0.5209580838323353
2022,Richmond,318,575,2165,1780,510,22,0.5530434782608695
2022,St Kilda,247,468,1703,1715,480,22,0.5277777777777778
2022,Sydney,300,567,2067,1616,456,22,0.5291005291005291
2022,West Coast,212,369,1429,2389,614,22,0.5745257452574526
2022,Western Bulldogs,287,538,1973,1812,487,22,0.533457249070632
2023,Adelaide,319,598,2193,1877,517,23,0.5334448160535117
2023,Brisbane Lions,316,600,2180,1771,471,23,0.5266666666666666
2023,Carlton,275,547,1922,1697,482,23,0.5027422303473492
2023,Collingwood,317,557,2142,1687,492,23,0.5691202872531418
2023,Essendon,267,503,1838,2050,550,23,0.5308151093439364
2023,Fremantle,271,480,1835,1898,503,23,0.5645833333333333
2023,Geelong,306,558,2088,1855,515,23,0.5483870967741935
2023,Gold Coast,265,514,1839,2006,536,23,0.5155642023346303
2023,Greater Western Sydney,294,548,2018,1885,540,23,0.5364963503649635
2023,Hawthorn,243,471,1686,2101,546,23,0.5159235668789809
2023,Melbourne,305,554,2079,1660,460,23,0.5505415162454874
2023,North Melbourne,243,442,1657,2318,628,23,0.5497737556561086
2023,Port Adelaide,310,599,2149,1906,506,23,0.5175292153589316
2023,Richmond,265,531,1856,1983,548,23,0.4990583804143126
2023,St Kilda,260,475,1775,1647,472,23,0.5473684210526316
2023,Sydney,299,555,2050,1863,508,23,0.5387387387387388
2023,West Coast,204,398,1418,2674,709,23,0.5125628140703518
2023,Western Bulldogs,276,539,1919,1766,486,23,0.5120593692022264
2024,Adelaide,279,511,1906,1923,553,23,0.5459882583170255
2024,Brisbane Lions,304,610,2130,1747,477,23,0.49836065573770494
2024,Carlton,316,571,2151,1952,527,23,0.553415061295972
2024,Collingwood,288,551,1991,1943,528,23,0.5226860254083484
2024,Essendon,275,517,1892,2024,534,23,0.5319148936170213
2024,Fremantle,286,534,1964,1755,490,23,0.5355805243445693
2024,Geelong,321,559,2164,1928,518,23,0.5742397137745975
2024,Gold Coast,281,520,1925,1943,508,23,0.5403846153846154
2024,Greater Western Sydney,303,519,2034,1864,544,23,0.5838150289017341
2024,Hawthorn,306,560,2090,1763,483,23,0.5464285714285714
2024,Melbourne,259,490,1785,1812,507,23,0.5285714285714286
2024,North Melbourne,244,399,1619,2550,680,23,0.6115288220551378
2024,Port Adelaide,284,591,2011,1752,487,23,0.4805414551607445
2024,Richmond,211,450,1505,2364,619,23,0.4688888888888889
2024,St Kilda,254,478,1748,1758,493,23,0.5313807531380753
2024,Sydney,328,602,2242,1769,509,23,0.5448504983388704
2024,West Coast,229,449,1594,2339,604,23,0.5100222717149221
2024,Western Bulldogs,312,611,2171,1736,461,23,0.5106382978723404
2025,Adelaide,339,583,2278,1635,465,23,0.58147512864494
2025,Brisbane Lions,297,576,2061,1804,489,23,0.515625
2025,Carlton,259,504,1799,1861,491,23,0.5138888888888888
2025,Collingwood,286,561,1991,1627,447,23,0.5098039215686274
2025,Essendon,220,435,1535,2209,589,23,0.5057471264367817
2025,Fremantle,288,538,1978,1815,490,23,0.5353159851301115
2025,Geelong,356,645,2425,1714,469,23,0.5519379844961241
2025,Gold Coast,317,588,2173,1740,480,23,0.5391156462585034
2025,Greater Western Sydney,312,554,2114,1834,539,23,0.5631768953068592
2025,Hawthorn,300,545,2045,1691,491,23,0.5504587155963303
2025,Melbourne,271,547,1902,2038,538,23,0.4954296160877514
2025,North Melbourne,267,470,1805,2365,630,23,0.5680851063829787
2025,Port Adelaide,244,485,1705,2136,586,23,0.5030927835051546
2025,Richmond,204,429,1449,2197,607,23,0.4755244755244755
2025,St Kilda,268,499,1839,2077,572,23,0.5370741482965932
2025,Sydney,264,525,1845,1902,522,23,0.5028571428571429
2025,West Coast,209,421,1466,2438,653,23,0.49643705463182897
2025,Western Bulldogs,369,648,2493,1820,495,23,0.5694444444444444
2026,Adelaide,322,559,2169,1849,529,23,0.5760286225402504
2026,Brisbane Lions,366,669,2499,2054,559,23,0.547085201793722
2026,Carlton,289,562,2007,1978,538,23,0.5142348754448398
2026,Collingwood,293,556,2021,1974,539,23,0.5269784172661871
2026,Essendon,229,456,1601,2477,667,23,0.5021929824561403
2026,Fremantle,332,626,2286,1666,476,23,0.5303514376996805
2026,Geelong,346,625,2355,1925,535,23,0.5536
2026,Gold Coast,291,556,2011,2128,583,23,0.5233812949640287
2026,Greater Western Sydney,300,573,2073,2095,565,23,0.5235602094240838
2026,Hawthorn,327,625,2260,1881,506,23,0.5232
2026,Melbourne,339,606,2301,2099,549,23,0.5594059405940595
2026,North Melbourne,280,532,1932,2175,600,23,0.5263157894736842
2026,Port Adelaide,255,528,1803,2048,548,23,0.48295454545454547
2026,Richmond,209,438,1483,2373,663,23,0.4771689497716895
2026,St Kilda,293,565,2030,1974,554,23,0.5185840707964602
2026,Sydney,375,668,2543,1869,544,23,0.561377245508982
2026,West Coast,226,485,1615,2333,623,23,0.465979381443299
2026,Western Bulldogs,275,526,1901,1992,577,23,0.5228136882129277
