season,team,pts_diff,shot_diff,xmargin,xmargin_shrunk,future_margin
2017,Gold Coast,-12.272727272727273,-1.8181818181818166,-6.623341798242622,-6.528439261348211,-38.18181818181818
2017,Greater Western Sydney,15.454545454545455,3.6363636363636367,13.246683596485257,13.649006464023344,9.0
2017,Hawthorn,-24.363636363636363,-6.18181818181818,-22.51936211402493,-22.48975081081484,7.0
2017,Melbourne,9.909090909090908,1.7272727272727302,6.292174708330507,8.027265155688255,-0.7272727272727273
2017,North Melbourne,-6.181818181818182,-1.6363636363636331,-5.961007618418353,-5.284987344478765,-19.363636363636363
2017,Port Adelaide,25.727272727272727,7.0909090909090935,25.83103301314626,24.995332750904723,19.454545454545453
2017,Richmond,9.272727272727273,2.9090909090909065,10.597346877188196,9.41842778868795,18.727272727272727
2017,St Kilda,-6.545454545454546,1.1818181818181834,4.305172168857714,2.016657803146458,1.0
2017,Sydney,4.2727272727272725,1.09090909090909,3.974005078945573,4.70055045667803,35.90909090909091
2017,West Coast,1.2727272727272727,-1.0,-3.6428379890334455,-2.907871760668854,8.363636363636363
2017,Western Bulldogs,2.0,2.4545454545454533,8.941511427627542,6.452972218117637,-7.090909090909091
2018,Adelaide,5.7272727272727275,0.2727272727272734,0.9935012697363965,1.736888348733146,1.1818181818181819
2018,Brisbane Lions,-20.454545454545453,-4.545454545454547,-16.558354495606576,-16.815091635602982,0.09090909090909091
2018,Carlton,-37.27272727272727,-8.636363636363637,-31.460873541652486,-32.241897557355486,-47.18181818181818
2018,Collingwood,12.545454545454545,3.454545454545457,12.584349416661002,13.89201253143861,19.0
2018,Essendon,-11.454545454545455,-3.27272727272727,-11.92201523683672,-12.507205073200353,20.0
2018,Fremantle,-16.90909090909091,-4.18181818181818,-15.233686135958038,-15.59570366971306,-27.181818181818183
2018,Geelong,19.272727272727273,2.0,7.285675978066891,7.1363343249155236,25.363636363636363
