season,team,pts_diff,shot_diff,future_margin
2021,Adelaide,-14.363636363636363,-3.4545454545454546,-17.90909090909091
2021,Brisbane Lions,23.90909090909091,5.2727272727272725,24.454545454545453
2021,Carlton,-5.545454545454546,-0.5454545454545454,-15.0
2021,Collingwood,-11.272727272727273,-1.2727272727272727,-12.454545454545455
2021,Essendon,5.545454545454546,1.0,9.272727272727273
2021,Fremantle,-8.363636363636363,1.1818181818181819,-14.090909090909092
2021,Geelong,20.181818181818183,3.3636363636363638,15.181818181818182
2021,Gold Coast,-5.818181818181818,-1.7272727272727273,-33.54545454545455
2021,Greater Western Sydney,-5.7272727272727275,-1.6363636363636365,5.2727272727272725
2021,Hawthorn,-24.454545454545453,-6.2727272727272725,-1.2727272727272727
2021,Melbourne,25.0,7.7272727272727275,15.454545454545455
2021,North Melbourne,-44.90909090909091,-10.818181818181818,-11.181818181818182
2021,Port Adelaide,16.454545454545453,1.9090909090909092,19.181818181818183
2021,Richmond,2.0,0.18181818181818182,-5.363636363636363
2021,St Kilda,-21.727272727272727,-3.5454545454545454,7.909090909090909
2021,Sydney,10.272727272727273,-0.18181818181818182,19.727272727272727
2021,West Coast,5.454545454545454,-0.45454545454545453,-17.09090909090909
2021,Western Bulldogs,33.36363636363637,9.272727272727273,11.454545454545455
2022,Adelaide,-20.818181818181817,-3.5454545454545454,-3.272727272727273
2022,Brisbane Lions,30.363636363636363,4.909090909090909,1.2727272727272727
2022,Carlton,10.454545454545455,2.727272727272727,2.5454545454545454
2022,Collingwood,2.4545454545454546,1.5454545454545454,4.454545454545454
2022,Essendon,-25.727272727272727,-5.2727272727272725,-6.090909090909091
2022,Fremantle,19.09090909090909,5.0,3.909090909090909
2022,Geelong,20.363636363636363,7.636363636363637,39.45454545454545
2022,Gold Coast,1.1818181818181819,-0.18181818181818182,3.4545454545454546
2022,Greater Western Sydney,-12.181818181818182,-2.6363636363636362,-14.727272727272727
2022,Hawthorn,-12.454545454545455,-3.3636363636363638,-6.090909090909091
2022,Melbourne,29.09090909090909,8.181818181818182,12.090909090909092
2022,North Melbourne,-49.90909090909091,-13.090909090909092,-46.45454545454545
2022,Port Adelaide,3.4545454545454546,1.1818181818181819,11.818181818181818
2022,Richmond,14.545454545454545,0.9090909090909091,20.454545454545453
2022,St Kilda,16.636363636363637,3.0,-17.727272727272727
2022,Sydney,15.0,2.272727272727273,26.0
2022,West Coast,-58.36363636363637,-14.272727272727273,-28.90909090909091
2022,Western Bulldogs,16.818181818181817,5.0,-2.1818181818181817
2023,Adelaide,7.090909090909091,0.7272727272727273,19.833333333333332
2023,Brisbane Lions,19.454545454545453,5.363636363636363,16.25
2023,Carlton,-2.6363636363636362,1.0,21.166666666666668
2023,Collingwood,22.818181818181817,4.181818181818182,17.0
2023,Essendon,6.545454545454546,0.6363636363636364,-23.666666666666668
2023,Fremantle,1.9090909090909092,-0.36363636363636365,-7.0
2023,Geelong,15.181818181818182,4.2727272727272725,5.5
2023,Gold Coast,-2.272727272727273,-0.9090909090909091,-11.833333333333334
2023,Greater Western Sydney,-11.727272727272727,-4.454545454545454,21.833333333333332
